#  Lmax = 2 nonlocal L channels2
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       1.734592267202e-02       1.927728254920e+02       1.226265357234e+02
1.921000000000e-02       1.500449017345e-01       1.919281338285e+02       1.220929794668e+02
3.621000000000e-02       2.793901936846e-01       1.897600602732e+02       1.207234669073e+02
5.321000000000e-02       4.027831119918e-01       1.863147471891e+02       1.185470626240e+02
7.021000000000e-02       5.180731099254e-01       1.816646333959e+02       1.156093978885e+02
8.721000000000e-02       6.236066202200e-01       1.759059518645e+02       1.119710985201e+02
1.042100000000e-01       7.182445709331e-01       1.691553994285e+02       1.077056919120e+02
1.212100000000e-01       8.013501984737e-01       1.615461299219e+02       1.028970881608e+02
1.382100000000e-01       8.727515706591e-01       1.532233633494e+02       9.763681905015e+01
1.552100000000e-01       9.326839251399e-01       1.443397363004e+02       9.202111317225e+01
1.722100000000e-01       9.817182588104e-01       1.350506340614e+02       8.614795816768e+01
1.892100000000e-01       1.020682747515e+00       1.255097170342e+02       8.011428367742e+01
2.062100000000e-01       1.050582975987e+00       1.158647727256e+02       7.401334744114e+01
2.232100000000e-01       1.072526500319e+00       1.062540945403e+02       6.793245135794e+01
2.402100000000e-01       1.087655775806e+00       9.680346206694e+01       6.195103466764e+01
2.572100000000e-01       1.097092343730e+00       8.762381464617e+01       5.613920241791e+01
2.742100000000e-01       1.101893702990e+00       7.880965324118e+01       5.055671174629e+01
2.912100000000e-01       1.103023131390e+00       7.043815853973e+01       4.525240884992e+01
3.082100000000e-01       1.101331571639e+00       6.256899592478e+01       4.026409875623e+01
3.252100000000e-01       1.097550056641e+00       5.524473567794e+01       3.561880325541e+01
3.422100000000e-01       1.092290605761e+00       4.849180287225e+01       3.133335358526e+01
3.592100000000e-01       1.086053322368e+00       4.232184907528e+01       2.741525026248e+01
3.762100000000e-01       1.079237598063e+00       3.673344327698e+01       2.386372564963e+01
3.932100000000e-01       1.072155397798e+00       3.171396162261e+01       2.067093348635e+01
4.102100000000e-01       1.065045120094e+00       2.724157878008e+01       1.782320410961e+01
4.272100000000e-01       1.058084840620e+00       2.328726351492e+01       1.530230380979e+01
4.442100000000e-01       1.051404174475e+00       1.981669496485e+01       1.308664543119e+01
4.612100000000e-01       1.045094403240e+00       1.679204295007e+01       1.115241418499e+01
4.782100000000e-01       1.039216734229e+00       1.417355655758e+01       9.474573157669e+00
4.952100000000e-01       1.033808836848e+00       1.192093702436e+01       8.027733042008e+00
5.122100000000e-01       1.028889891613e+00       9.994477199576e+00       6.786874576442e+00
5.292100000000e-01       1.024464453476e+00       8.355965333558e+00       5.727921981686e+00
5.462100000000e-01       1.020525445351e+00       6.969365457102e+00       4.828174896845e+00
5.632100000000e-01       1.017056538525e+00       5.801289406255e+00       4.066608157973e+00
5.802100000000e-01       1.014034138596e+00       4.821286403268e+00       3.424055676740e+00
5.972100000000e-01       1.011429119244e+00       4.001976517623e+00       2.883295014971e+00
6.142100000000e-01       1.009208389161e+00       3.319056809884e+00       2.429050881242e+00
6.312100000000e-01       1.007336332323e+00       2.751208181044e+00       2.047935321452e+00
6.482100000000e-01       1.005776122170e+00       2.279929333611e+00       1.728341410642e+00
6.652100000000e-01       1.004490895701e+00       1.889321144291e+00       1.460305296158e+00
6.822100000000e-01       1.003444763682e+00       1.565841648288e+00       1.235349504201e+00
6.992100000000e-01       1.002603637738e+00       1.298048514818e+00       1.046318317346e+00
7.162100000000e-01       1.001935861389e+00       1.076341457667e+00       8.872132123179e-01
7.332100000000e-01       1.001412646381e+00       8.927149839293e-01       7.530350403749e-01
7.502100000000e-01       1.001008323590e+00       7.405276775446e-01       6.396369469489e-01
7.672100000000e-01       1.000700429166e+00       6.142924244209e-01       5.435908704081e-01
7.842100000000e-01       1.000469653692e+00       5.094898367379e-01       4.620690704731e-01
8.012100000000e-01       1.000299682239e+00       4.224050163596e-01       3.927407829933e-01
8.182100000000e-01       1.000176958596e+00       3.499873931421e-01       3.336838077437e-01
8.352100000000e-01       1.000090400291e+00       2.897318310645e-01       2.833098576702e-01
8.522100000000e-01       1.000031090260e+00       2.395791272764e-01       2.403024349950e-01
8.692100000000e-01       9.999919660449e-01       1.978336973655e-01       2.035657811350e-01
8.862100000000e-01       9.999675206878e-01       1.630959824296e-01       1.721832924894e-01
9.032100000000e-01       9.999535275153e-01       1.342075077512e-01       1.453840271780e-01
9.202100000000e-01       9.999467942065e-01       1.102063953515e-01       1.225158666809e-01
9.372100000000e-01       9.999449495674e-01       9.029152319215e-02       1.030241392101e-01
9.542100000000e-01       9.999462634177e-01       7.379373064509e-02       8.643465050522e-02
9.712100000000e-01       9.999494974889e-01       6.015264128415e-02       7.234019047986e-02
9.882100000000e-01       9.999537849684e-01       4.889802241254e-02       6.038980240057e-02
1.005210000000e+00       9.999585348037e-01       3.963470136655e-02       5.028018194085e-02
1.022210000000e+00       9.999633571697e-01       3.203030549442e-02       4.174873106655e-02
1.039210000000e+00       9.999680064618e-01       2.580523727645e-02       3.456789082260e-02
1.056210000000e+00       9.999723383507e-01       2.072439480029e-02       2.854044633297e-02
1.073210000000e+00       9.999762780510e-01       1.659030133275e-02       2.349559604827e-02
1.090210000000e+00       9.999797972150e-01       1.323734526754e-02       1.928560639132e-02
1.107210000000e+00       9.999828974144e-01       1.052692334024e-02       1.578293177505e-02
1.124210000000e+00       9.999855985460e-01       8.343325661059e-03       1.287771107117e-02
1.141210000000e+00       9.999879308446e-01       6.590224411669e-03       1.047556593578e-02
