Timestep DMC STD
0.02 -0.8230683198 3.47640902e-05
0.01 -0.8230554992 3.302152734e-05
0.005 -0.8229955627 2.653443256e-05
0.0025 -0.8231181386 3.375523467e-05
0.001 -0.8229783549 3.280232322e-05
