Timestep DMC STD
0.02 -14.9177516 0.0001539919777
0.01 -14.9181176 0.0001306558183
0.005 -14.91785371 0.0001473444897
0.0025 -14.91763639 0.0001323806842
0.001 -14.91788829 0.0001528387643
