Timestep DMC STD
0.02 -15.87303244 0.0001763503885
0.01 -15.87128922 0.0001691668587
0.005 -15.87009185 0.0001682517864
0.0025 -15.86935722 0.0001669900802
0.001 -15.86948505 0.0001842865352
