#  Lmax = 3 nonlocal L channels3
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       3.684530931355e-03       7.180400964067e+01       5.649004006374e+01       6.738607258853e+00
1.921000000000e-02       3.199560099644e-02       7.169524446940e+01       5.640633606852e+01       6.735128938408e+00
3.621000000000e-02       6.016996759438e-02       7.141457757578e+01       5.619034025899e+01       6.726137081715e+00
5.321000000000e-02       8.811939152542e-02       7.096404043712e+01       5.584361882380e+01       6.711654137153e+00
7.021000000000e-02       1.157876097230e-01       7.034686822313e+01       5.536866566424e+01       6.691715752224e+00
8.721000000000e-02       1.431482205159e-01       6.956746977084e+01       5.476887881568e+01       6.666370911743e+00
1.042100000000e-01       1.702016133128e-01       6.863137623156e+01       5.404852030384e+01       6.635681749366e+00
1.212100000000e-01       1.969710762972e-01       6.754517427536e+01       5.321266398612e+01       6.599723276994e+00
1.382100000000e-01       2.234982834436e-01       6.631642995687e+01       5.226713610870e+01       6.558583090611e+00
1.552100000000e-01       2.498383443088e-01       6.495360052686e+01       5.121844652010e+01       6.512361008838e+00
1.722100000000e-01       2.760546341377e-01       6.346593713373e+01       5.007371284532e+01       6.461168663002e+00
1.892100000000e-01       3.022136152574e-01       6.186338130489e+01       4.884057987993e+01       6.405129058812e+00
2.062100000000e-01       3.283798517055e-01       6.015645337659e+01       4.752713283739e+01       6.344376067389e+00
2.232100000000e-01       3.546114054910e-01       5.835613870980e+01       4.614180897308e+01       6.279053902217e+00
2.402100000000e-01       3.809557787932e-01       5.647377024515e+01       4.469330651153e+01       6.209316542977e+00
2.572100000000e-01       4.074465375532e-01       5.452091036064e+01       4.319049318779e+01       6.135327124686e+00
2.742100000000e-01       4.341007102135e-01       5.250923464190e+01       4.164231643211e+01       6.057257311628e+00
2.912100000000e-01       4.609170369924e-01       5.045041676802e+01       4.005771461797e+01       5.975286619419e+00
3.082100000000e-01       4.878750804562e-01       4.835601887018e+01       3.844553272638e+01       5.889601736547e+00
3.252100000000e-01       5.149351981466e-01       4.623738662663e+01       3.681444188000e+01       5.800395812071e+00
3.422100000000e-01       5.420393276240e-01       4.410555121253e+01       3.517286437470e+01       5.707867726696e+00
3.592100000000e-01       5.691125030483e-01       4.197113966596e+01       3.352890539783e+01       5.612221364615e+00
3.762100000000e-01       5.960650145095e-01       3.984429327217e+01       3.189029112967e+01       5.513664856063e+00
3.932100000000e-01       6.227950762383e-01       3.773459620990e+01       3.026431491842e+01       5.412409834395e+00
4.102100000000e-01       6.491918808955e-01       3.565101388788e+01       2.865779107820e+01       5.308670680638e+00
4.272100000000e-01       6.751388958042e-01       3.360184179673e+01       2.707701691081e+01       5.202663770522e+00
4.442100000000e-01       7.005172618729e-01       3.159466514396e+01       2.552774312043e+01       5.094606738283e+00
4.612100000000e-01       7.252091629640e-01       2.963632882923e+01       2.401515225519e+01       4.984717733957e+00
4.782100000000e-01       7.491010422453e-01       2.773291802225e+01       2.254384532838e+01       4.873214709030e+00
4.952100000000e-01       7.720865579054e-01       2.588974868085e+01       2.111783608056e+01       4.760314709573e+00
5.122100000000e-01       7.940691880861e-01       2.411136767711e+01       1.974055258539e+01       4.646233188949e+00
5.292100000000e-01       8.149644209943e-01       2.240156180808e+01       1.841484560738e+01       4.531183350607e+00
5.462100000000e-01       8.347014742070e-01       2.076337511258e+01       1.714300323416e+01       4.415375504144e+00
5.632100000000e-01       8.532245284930e-01       1.919913348980e+01       1.592677098044e+01       4.299016459924e+00
5.802100000000e-01       8.704934621576e-01       1.771047592484e+01       1.476737680344e+01       4.182308947180e+00
5.972100000000e-01       8.864841024235e-01       1.629839136809e+01       1.366556027486e+01       4.065451064267e+00
6.142100000000e-01       9.011880289942e-01       1.496326015061e+01       1.262160503786e+01       3.948635767689e+00
6.312100000000e-01       9.146119620264e-01       1.370489937941e+01       1.163537410334e+01       3.832050388743e+00
6.482100000000e-01       9.267768019043e-01       1.252261092169e+01       1.070634692046e+01       3.715876193831e+00
6.652100000000e-01       9.377163718393e-01       1.141523144811e+01       9.833657806606e+00       3.600287978411e+00
6.822100000000e-01       9.474759326211e-01       1.038118355469e+01       9.016134990751e+00       3.485453699795e+00
6.992100000000e-01       9.561105385858e-01       9.418527000441e+00       8.252339545719e+00       3.371534151814e+00
7.162100000000e-01       9.636832926859e-01       8.525009720639e+00       7.540603950476e+00       3.258682674828e+00
7.332100000000e-01       9.702635694936e-01       7.698117496886e+00       6.879069455167e+00       3.147044908998e+00
7.502100000000e-01       9.759252557874e-01       6.935122058596e+00       6.265722085709e+00       3.036758584924e+00
7.672100000000e-01       9.807450596119e-01       6.233126985292e+00       5.698426831053e+00       2.927953353754e+00
7.842100000000e-01       9.848009280306e-01       5.589110884774e+00       5.174959639787e+00       2.820750656760e+00
8.012100000000e-01       9.881706047421e-01       4.999967797700e+00       4.693037203225e+00       2.715263631456e+00
8.182100000000e-01       9.909303515946e-01       4.462544251111e+00       4.250344120953e+00       2.611597055649e+00
8.352100000000e-01       9.931538491579e-01       3.973673032763e+00       3.844557520261e+00       2.509847326729e+00
8.522100000000e-01       9.949112844172e-01       3.530203486772e+00       3.473369005279e+00       2.410102475793e+00
8.692100000000e-01       9.962686247597e-01       3.129028241155e+00       3.134503893362e+00       2.312442214460e+00
8.862100000000e-01       9.972870762525e-01       2.767106541795e+00       2.825737887679e+00       2.216938013969e+00
9.032100000000e-01       9.980227123898e-01       2.441484098168e+00       2.544911140360e+00       2.123653213343e+00
