Timestep DMC STD
0.02 -0.823088265 3.125417367e-05
0.01 -0.8229561838 3.199490495e-05
0.005 -0.8229997077 3.533019929e-05
0.0025 -0.8230300018 3.174003656e-05
0.001 -0.8230275949 3.353459403e-05
