Timestep DMC STD
0.02 -15.86981239 0.000144724767
0.01 -15.86940111 0.0001611314632
0.005 -15.86968521 0.0001449310659
0.0025 -15.86907395 0.0001344999522
0.001 -15.86890789 0.0001346917694
