#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       1.659905745418e-02       1.382010456579e+02
1.921000000000e-02       1.436670855382e-01       1.364579970588e+02
3.621000000000e-02       2.678799326252e-01       1.320880902509e+02
5.321000000000e-02       3.869566824585e-01       1.254388256600e+02
7.021000000000e-02       4.989293806046e-01       1.170010397312e+02
8.721000000000e-02       6.021935217139e-01       1.073317582223e+02
1.042100000000e-01       6.955392182823e-01       9.697890254396e+01
1.212100000000e-01       7.781626864013e-01       8.642381598303e+01
1.382100000000e-01       8.496588620621e-01       7.604950382481e+01
1.552100000000e-01       9.099970111520e-01       6.613383696261e+01
1.722100000000e-01       9.594820487860e-01       5.686076509621e+01
1.892100000000e-01       9.987048905754e-01       4.834030012103e+01
2.062100000000e-01       1.028485496146e+00       4.062926416177e+01
2.232100000000e-01       1.049812330836e+00       3.374796833764e+01
2.402100000000e-01       1.063781787117e+00       2.769133976470e+01
2.572100000000e-01       1.071540709489e+00       2.243536578397e+01
2.742100000000e-01       1.074234608391e+00       1.794071668184e+01
2.912100000000e-01       1.072963486842e+00       1.415531346197e+01
3.082100000000e-01       1.068746500176e+00       1.101695878526e+01
3.252100000000e-01       1.062495977867e+00       8.456427729769e+00
3.422100000000e-01       1.055000708519e+00       6.400898963373e+00
3.592100000000e-01       1.046917857879e+00       4.777368575751e+00
3.762100000000e-01       1.038772480347e+00       3.515674164506e+00
3.932100000000e-01       1.030963311595e+00       2.550866897016e+00
4.102100000000e-01       1.023773381680e+00       1.824815926419e+00
4.272100000000e-01       1.017383969519e+00       1.287059108442e+00
4.442100000000e-01       1.011890492696e+00       8.950020861484e-01
4.612100000000e-01       1.007319086678e+00       6.136132187646e-01
4.782100000000e-01       1.003642830951e+00       4.147725222041e-01
4.952100000000e-01       1.000796818794e+00       2.764201150854e-01
5.122100000000e-01       9.986915059123e-01       1.816241414606e-01
5.292100000000e-01       9.972239999285e-01       1.176580800066e-01
5.462100000000e-01       9.962871553026e-01       7.514743525714e-02
5.632100000000e-01       9.957765005264e-01       4.732065752770e-02
5.802100000000e-01       9.955951519400e-01       2.937863409644e-02
5.972100000000e-01       9.956569530684e-01       1.798277434166e-02
6.142100000000e-01       9.958881278844e-01       1.085240170694e-02
6.312100000000e-01       9.962277555472e-01       6.457127875381e-03
6.482100000000e-01       9.966273631594e-01       3.787887870577e-03
6.652100000000e-01       9.970499133057e-01       2.190780840681e-03
6.822100000000e-01       9.974684208703e-01       1.249237437198e-03
6.992100000000e-01       9.978643930413e-01       7.023205049951e-04
7.162100000000e-01       9.982262420470e-01       3.892870701395e-04
7.332100000000e-01       9.985477775106e-01       2.127396507783e-04
7.502100000000e-01       9.988268485445e-01       1.146228123680e-04
7.672100000000e-01       9.990641741186e-01       6.088900074201e-05
7.842100000000e-01       9.992623763946e-01       3.188961346328e-05
8.012100000000e-01       9.994252136103e-01       1.647051736757e-05
8.182100000000e-01       9.995569960513e-01       0.000000000000e+00
8.352100000000e-01       9.996621628321e-01       0.000000000000e+00
8.522100000000e-01       9.997449927386e-01       0.000000000000e+00
8.692100000000e-01       9.998094227330e-01       0.000000000000e+00
8.862100000000e-01       9.998589490186e-01       0.000000000000e+00
9.032100000000e-01       9.998965886536e-01       0.000000000000e+00
9.202100000000e-01       9.999248831155e-01       0.000000000000e+00
9.372100000000e-01       9.999459288278e-01       0.000000000000e+00
9.542100000000e-01       9.999614231224e-01       0.000000000000e+00
9.712100000000e-01       9.999727171649e-01       0.000000000000e+00
9.882100000000e-01       9.999808699532e-01       0.000000000000e+00
1.005210000000e+00       9.999866995805e-01       0.000000000000e+00
1.022210000000e+00       9.999908295226e-01       0.000000000000e+00
1.039210000000e+00       9.999937288520e-01       0.000000000000e+00
1.056210000000e+00       9.999957461668e-01       0.000000000000e+00
1.073210000000e+00       9.999971375525e-01       0.000000000000e+00
1.090210000000e+00       9.999980889858e-01       0.000000000000e+00
