#  Lmax = 2 nonlocal L channels2
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       2.253035677980e-02       5.275031933728e+02       3.875199667216e+02
1.921000000000e-02       1.938851916054e-01       5.215246485062e+02       3.823445470714e+02
3.621000000000e-02       3.565591711939e-01       5.063869241937e+02       3.692985608586e+02
5.321000000000e-02       5.046602008611e-01       4.829401189231e+02       3.492601169020e+02
7.021000000000e-02       6.343356635132e-01       4.524612955577e+02       3.235287841045e+02
8.721000000000e-02       7.437478170034e-01       4.165364926561e+02       2.936821176576e+02
1.042100000000e-01       8.328185167453e-01       3.769209457944e+02       2.614115240402e+02
1.212100000000e-01       9.028212119042e-01       3.353942227935e+02       2.283607744153e+02
1.382100000000e-01       9.559114110264e-01       2.936282177250e+02       1.959896248483e+02
1.552100000000e-01       9.946765697848e-01       2.530802947721e+02       1.654764724812e+02
1.722100000000e-01       1.021766081581e+00       2.149205389818e+02       1.376672659353e+02
1.892100000000e-01       1.039632995188e+00       1.799960181579e+02       1.130692294967e+02
2.062100000000e-01       1.050391666719e+00       1.488298343363e+02       9.188164379038e+01
2.232100000000e-01       1.055773751187e+00       1.216488686300e+02       7.405188527155e+01
2.402100000000e-01       1.057153186177e+00       9.843165801569e+01       5.934394300017e+01
2.572100000000e-01       1.055607836920e+00       7.896710992702e+01       4.740776641139e+01
2.742100000000e-01       1.051990205417e+00       6.291539897135e+01       3.784065332537e+01
2.912100000000e-01       1.046988730685e+00       4.986436238712e+01       3.023558090511e+01
3.082100000000e-01       1.041170685193e+00       3.937666641586e+01       2.421452811804e+01
3.252100000000e-01       1.035006173422e+00       3.102560786437e+01       1.944770259062e+01
3.422100000000e-01       1.028877811128e+00       2.441922223966e+01       1.566115090878e+01
3.592100000000e-01       1.023082754799e+00       1.921388071148e+01       1.263601346978e+01
3.762100000000e-01       1.017833355134e+00       1.511943049093e+01       1.020264233229e+01
3.932100000000e-01       1.013260596532e+00       1.189821100729e+01       8.232293287089e+00
4.102100000000e-01       1.009422188804e+00       9.360210069458e+00       6.628359742680e+00
4.272100000000e-01       1.006315009423e+00       7.356250920674e+00       5.318380580042e+00
4.442100000000e-01       1.003890278622e+00       5.770634658039e+00       4.247428332099e+00
4.612100000000e-01       1.002069399186e+00       4.514165888316e+00       3.373026331922e+00
4.782100000000e-01       1.000758504839e+00       3.518089633947e+00       2.661477093900e+00
4.952100000000e-01       9.998603950669e-01       2.729133494967e+00       2.085341818478e+00
5.122100000000e-01       9.992832069755e-01       2.105646658978e+00       1.621782605541e+00
5.292100000000e-01       9.989458251805e-01       1.614704239804e+00       1.251502864709e+00
5.462100000000e-01       9.987804625981e-01       1.229991689025e+00       9.580735249039e-01
5.632100000000e-01       9.987330953969e-01       9.302853062625e-01       7.274914423523e-01
5.802100000000e-01       9.987624652915e-01       6.983621778301e-01       5.478668411087e-01
5.972100000000e-01       9.988382951312e-01       5.202087734558e-01       4.091771471741e-01
6.142100000000e-01       9.989392177292e-01       3.844310740000e-01       3.030529249081e-01
6.312100000000e-01       9.990507482258e-01       2.817979737215e-01       2.225792455172e-01
6.482100000000e-01       9.991634997547e-01       2.048748415655e-01       1.621073656191e-01
6.652100000000e-01       9.992717195091e-01       1.477192990642e-01       1.170761439644e-01
6.822100000000e-01       9.993721551041e-01       1.056233839687e-01       8.384534866730e-02
6.992100000000e-01       9.994632166852e-01       7.489297021852e-02       5.954332073521e-02
7.162100000000e-01       9.995443805407e-01       5.265856880377e-02       4.193046492263e-02
7.332100000000e-01       9.996157795851e-01       3.671442392601e-02       2.927981949152e-02
7.502100000000e-01       9.996779298180e-01       2.538278538486e-02       2.027444728575e-02
7.672100000000e-01       9.997315524771e-01       1.740096558941e-02       1.392102488192e-02
7.842100000000e-01       9.997774610836e-01       1.182870395448e-02       9.478402270658e-03
8.012100000000e-01       9.998164912842e-01       7.973136904861e-03       6.399419136411e-03
8.182100000000e-01       9.998494584248e-01       5.329037514682e-03       4.284375248465e-03
8.352100000000e-01       9.998771328101e-01       3.531795205322e-03       2.844304817459e-03
8.522100000000e-01       9.999002261945e-01       2.320965703448e-03       1.872432028992e-03
8.692100000000e-01       9.999193853805e-01       1.512407139020e-03       1.222299836021e-03
8.862100000000e-01       9.999351903891e-01       9.772259978226e-04       7.912083075440e-04
9.032100000000e-01       9.999481555107e-01       6.261056736669e-04       5.078616419113e-04
9.202100000000e-01       9.999587322269e-01       3.977652768470e-04       3.232524113027e-04
9.372100000000e-01       9.999673132849e-01       2.505716880804e-04       2.040230583072e-04
9.542100000000e-01       9.999742374266e-01       1.565178352113e-04       1.276905188114e-04
9.712100000000e-01       9.999797944703e-01       9.694418068803e-05       7.924636667476e-05
9.882100000000e-01       9.999842304525e-01       5.953959610044e-05       4.876873926251e-05
1.005210000000e+00       9.999877526856e-01       3.625907638740e-05       2.976087090182e-05
1.022210000000e+00       9.999905345896e-01       2.189541759215e-05       1.800904296518e-05
1.039210000000e+00       9.999927202047e-01       1.027850187897e-05       8.471958015545e-06
1.056210000000e+00       9.999944283493e-01       0.000000000000e+00       0.000000000000e+00
1.073210000000e+00       9.999957563719e-01       0.000000000000e+00       0.000000000000e+00
1.090210000000e+00       9.999967835036e-01       0.000000000000e+00       0.000000000000e+00
1.107210000000e+00       9.999975738122e-01       0.000000000000e+00       0.000000000000e+00
1.124210000000e+00       9.999981787705e-01       0.000000000000e+00       0.000000000000e+00
1.141210000000e+00       9.999986394740e-01       0.000000000000e+00       0.000000000000e+00
