Timestep DMC STD
0.02 -3.759175234 7.259468386e-05
0.01 -3.759141827 7.107634442e-05
0.005 -3.759137204 7.837703914e-05
0.0025 -3.759141361 7.954951713e-05
0.001 -3.759136243 8.281062087e-05
