Timestep DMC STD
0.02 -1.935873087 5.917945151e-05
0.01 -1.935858245 6.13656227e-05
0.005 -1.935843115 6.662191339e-05
0.0025 -1.935876758 6.022738959e-05
0.001 -1.935967362 5.767317657e-05
