#  Lmax = 3 nonlocal L channels3
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       5.354170857890e-03       7.234247381682e+01       6.486625615430e+01       2.524393655355e+01
1.921000000000e-02       4.650893876422e-02       7.224866402960e+01       6.478826898107e+01       2.522511222481e+01
3.621000000000e-02       8.752489855310e-02       7.200648642145e+01       6.458690573708e+01       2.517646921101e+01
5.321000000000e-02       1.283029619532e-01       7.161742220198e+01       6.426331076713e+01       2.509818201397e+01
7.021000000000e-02       1.687670250477e-01       7.108383157220e+01       6.381930770167e+01       2.499052847686e+01
8.721000000000e-02       2.088620378088e-01       7.040893755575e+01       6.325738871603e+01       2.485388967155e+01
1.042100000000e-01       2.485512477072e-01       6.959679459711e+01       6.258069200649e+01       2.468874774666e+01
1.212100000000e-01       2.878127816891e-01       6.865224721421e+01       6.179297197283e+01       2.449568296593e+01
1.382100000000e-01       3.266357870117e-01       6.758088295670e+01       6.089856534287e+01       2.427537040200e+01
1.552100000000e-01       3.650163430744e-01       6.638897739818e+01       5.990235140878e+01       2.402857596210e+01
1.722100000000e-01       4.029533751420e-01       6.508343301852e+01       5.880970773512e+01       2.375615190831e+01
1.892100000000e-01       4.404447839377e-01       6.367171382153e+01       5.762646269775e+01       2.345903204161e+01
2.062100000000e-01       4.774839852897e-01       6.216177393114e+01       5.635884338289e+01       2.313822625194e+01
2.232100000000e-01       5.140570183810e-01       6.056198423276e+01       5.501342194098e+01       2.279481488070e+01
2.402100000000e-01       5.501403455235e-01       5.888105558605e+01       5.359705914052e+01       2.242994262638e+01
2.572100000000e-01       5.856994189877e-01       5.712796050490e+01       5.211684651279e+01       2.204481215675e+01
2.742100000000e-01       6.206880399465e-01       5.531185502808e+01       5.058004836871e+01       2.164067759043e+01
2.912100000000e-01       6.550485022243e-01       5.344199976975e+01       4.899404277749e+01       2.121883761231e+01
3.082100000000e-01       6.887124542919e-01       5.152768337130e+01       4.736626400648e+01       2.078062861278e+01
3.252100000000e-01       7.216023959695e-01       4.957814747417e+01       4.570414563147e+01       2.032741764094e+01
3.422100000000e-01       7.536336885886e-01       4.760251471682e+01       4.401506545553e+01       1.986059531995e+01
3.592100000000e-01       7.847169419780e-01       4.560972094934e+01       4.230629316340e+01       1.938156886247e+01
3.762100000000e-01       8.147606373358e-01       4.360845112355e+01       4.058494019625e+01       1.889175501361e+01
3.932100000000e-01       8.436738390788e-01       4.160708084191e+01       3.885791346961e+01       1.839257322951e+01
4.102100000000e-01       8.713688620636e-01       3.961362300854e+01       3.713187243719e+01       1.788543893789e+01
4.272100000000e-01       8.977637720381e-01       3.763568040716e+01       3.541319018350e+01       1.737175699943e+01
4.442100000000e-01       9.227846220919e-01       3.568040467993e+01       3.370791897736e+01       1.685291546929e+01
4.612100000000e-01       9.463673419280e-01       3.375446136167e+01       3.202175997988e+01       1.633027954265e+01
4.782100000000e-01       9.684592350733e-01       3.186400168360e+01       3.036003780676e+01       1.580518589699e+01
4.952100000000e-01       9.890200499472e-01       3.001464071297e+01       2.872767959450e+01       1.527893732629e+01
5.122100000000e-01       1.008022621870e+00       2.821144194728e+01       2.712919875610e+01       1.475279774669e+01
5.292100000000e-01       1.025453106063e+00       2.645890818667e+01       2.556868338720e+01       1.422798762966e+01
5.462100000000e-01       1.041310824430e+00       2.476097838244e+01       2.404978909848e+01       1.370567979098e+01
5.632100000000e-01       1.055607782836e+00       2.312103020076e+01       2.257573622511e+01       1.318699565466e+01
5.802100000000e-01       1.068367904002e+00       2.154188791699e+01       2.114931113425e+01       1.267300192499e+01
5.972100000000e-01       1.079626038032e+00       2.002583525256e+01       1.977287142802e+01       1.216470770545e+01
6.142100000000e-01       1.089426813019e+00       1.857463258393e+01       1.844835468644e+01       1.166306207991e+01
6.312100000000e-01       1.097823376334e+00       1.718953824363e+01       1.717729056313e+01       1.116895211683e+01
6.482100000000e-01       1.104876087563e+00       1.587133313843e+01       1.596081573899e+01       1.068320133501e+01
6.652100000000e-01       1.110651203817e+00       1.462034837396e+01       1.479969151686e+01       1.020656859256e+01
6.822100000000e-01       1.115219598999e+00       1.343649529285e+01       1.369432365952e+01       9.739747402404e+00
6.992100000000e-01       1.118655548814e+00       1.231929726893e+01       1.264478400330e+01       9.283365657804e+00
7.162100000000e-01       1.121035602231e+00       1.126792305057e+01       1.165083370909e+01       8.837985750671e+00
7.332100000000e-01       1.122437557508e+00       1.028122080290e+01       1.071194752319e+01       8.404105062428e+00
7.502100000000e-01       1.122939549860e+00       9.357752666945e+00       9.827338915239e+00       7.982156808969e+00
7.672100000000e-01       1.122619254712e+00       8.495829303090e+00       8.995985689399e+00       7.572511218077e+00
7.842100000000e-01       1.121553204232e+00       7.693543907916e+00       8.216655662321e+00       7.175477003408e+00
8.012100000000e-01       1.119816212797e+00       6.948805619746e+00       7.487932343955e+00       6.791303131916e+00
8.182100000000e-01       1.117480902418e+00       6.259371673252e+00       6.808240090603e+00       6.420180829918e+00
8.352100000000e-01       1.114617319810e+00       5.622878273386e+00       6.175868696216e+00       6.062245823217e+00
8.522100000000e-01       1.111292634769e+00       5.036869862678e+00       5.588997135370e+00       5.717580776826e+00
8.692100000000e-01       1.107570908513e+00       4.498826516572e+00       5.045716206210e+00       5.386217891587e+00
8.862100000000e-01       1.103512924413e+00       4.006189509152e+00       4.544050091718e+00       5.068141663391e+00
9.032100000000e-01       1.099176069248e+00       3.556384718554e+00       4.081976512479e+00       4.763291737842e+00
