Timestep DMC STD
0.02 -6.456269017 9.447939149e-05
0.01 -6.456338612 9.874197934e-05
0.005 -6.456423161 8.770158629e-05
0.0025 -6.456472648 8.981852542e-05
0.001 -6.456473703 9.025227294e-05
