Timestep,DMC,STD
0.02,-5.410193747,0.000304031117
0.01,-5.409640164,0.0003301071902
0.005,-5.408915896,0.0003648352756
0.0025,-5.408803666,0.0003295192922
0.0,-5.408629730466891,0.00014689749653212992
