Timestep DMC STD
0.02 -58.05181451 0.0005479237379
0.01 -58.04808629 0.0005270810462
0.005 -58.04684385 0.0005405201295
0.0025 -58.04581992 0.0005137101335
0.001 -58.04534349 0.0006083048794
