Valence  Atom  CC  DMC  Corr  Kin
1  Na    -0.186206(1)      NaN         NaN             0.07503(1)
2  Mg    -0.823473(30)    -0.8234(1)   -0.035077(30)   0.26347(1)
3  Al    -1.9375235(79)   -1.9366(1)   -0.0605153(82)  0.7063(1)
4  Si    -3.762073(57)    -3.7601(1)   -0.089595(57)   1.4314(2)
5  P     -6.459803(74)    -6.4577(1)   -0.118837(74)   2.4931(3)
6  S     -10.09742(13)    -10.0920(2)  -0.17921(12)    3.9112(6)
7  Cl    -14.92670(18)    -14.9188(2)  -0.23724(17)    5.768(1)
8  Ar    -21.07170(24)    -21.0632(2)  -0.29204(24)    8.1392(8)

