Valence  Atom  CC  DMC  Corr  Kin
1  Na   -47.680977(64)    -47.6668(2)   -0.323818(64)   36.754(2)
2  Mg   -63.28914(13)     -63.2713(4)   -0.36171(13)    48.790(2)
3  Al   -81.38579(37)     -81.3621(5)   -0.39255(37)    63.160(2)
4  Si   -102.0512597(35)  -102.0230(4)  -0.4251799(35)  79.719(2)
5  P    -125.717593(74)   -125.6836(5)  -0.458886(74)   98.693(3)
6  S    -152.439331(87)   -152.3982(4)  -0.522516(87)   120.013(3)
7  Cl   -182.19712(21)    -182.1476(5)  -0.58411(21)    144.513(4)
8  Ar   -215.53238(18)    -215.4738(5)  -0.64022(18)    171.379(5)

